era,feature_name,record_count,presence_rate,mean_value,std_value,sources
Prehistoric,unmapped_shamanic_indicators,4989,0.335137302064542,0.335137302064542,0.47208575714445555,['dplace']
Prehistoric,trance_induction,421,1.0,1.0,0.0,"['dplace', 'drh']"
Prehistoric,spirit_possession,239,1.0,1.0,0.0,['dplace']
Prehistoric,soul_flight,161,0.018633540372670808,0.018633540372670808,0.13564888911455344,['dplace']
Prehistoric,possession_crisis,161,0.006211180124223602,0.006211180124223602,0.07881104062391006,['dplace']
Prehistoric,initiatory_ordeal,430,0.004651162790697674,0.004651162790697674,0.0681199010524141,['dplace']
Prehistoric,public_performance,135,0.5111111111111111,0.5111111111111111,0.5017382719429904,['dplace']
Prehistoric,specialist_presence,469,0.7611940298507462,0.7611940298507462,0.4268091993079037,['dplace']
Prehistoric,ancestor_mediation,183,0.09289617486338798,0.09289617486338798,0.2910832839104663,['dplace']
Prehistoric,divination,185,0.010810810810810811,0.010810810810810811,0.10369212315422188,"['dplace', 'drh']"
Prehistoric,rhythmic_percussion,182,0.0,0.0,0.0,['dplace']
Prehistoric,animal_transformation,183,0.0,0.0,0.0,['dplace']
Prehistoric,ritual_performance,225,0.43555555555555553,0.43555555555555553,0.49693505052918574,['dplace']
Prehistoric,initiatory_crisis,73,0.0547945205479452,0.0547945205479452,0.22915369411186493,['dplace']
Prehistoric,chanting_singing,131,0.015267175572519083,0.015267175572519083,0.12308426284632322,['dplace']
Prehistoric,hereditary_transmission,39,0.15384615384615385,0.15384615384615385,0.36551776819519566,['dplace']
Prehistoric,layered_cosmology,334,0.2245508982035928,0.2245508982035928,0.41791230970479243,['dplace']
Prehistoric,nature_spirits,337,0.12759643916913946,0.12759643916913946,0.3341360266014382,['dplace']
Prehistoric,entheogen_use,171,0.23976608187134502,0.23976608187134502,0.4281945039298548,['dplace']
Prehistoric,healing_function,1,0.0,0.0,,['drh']
Prehistoric,dedicated_specialist,42,0.7857142857142857,0.7857142857142857,0.4152997322366327,['seshat']
Ancient,trance_induction,3,1.0,1.0,0.0,['drh']
Ancient,divination,2,1.0,1.0,0.0,['drh']
Ancient,healing_function,1,0.0,0.0,,['drh']
Ancient,dedicated_specialist,112,0.7857142857142857,0.7857142857142857,0.4121700739793829,['seshat']
Medieval,trance_induction,3,1.0,1.0,0.0,['drh']
Medieval,divination,2,1.0,1.0,0.0,['drh']
Medieval,healing_function,1,0.0,0.0,,['drh']
Medieval,dedicated_specialist,193,0.8652849740932642,0.8652849740932642,0.34230688995178415,['seshat']
Early_Modern,trance_induction,3,1.0,1.0,0.0,['drh']
Early_Modern,divination,2,1.0,1.0,0.0,['drh']
Early_Modern,healing_function,1,0.0,0.0,,['drh']
Early_Modern,dedicated_specialist,94,0.8085106382978723,0.8085106382978723,0.3955830254107684,['seshat']
Industrial,trance_induction,3,1.0,1.0,0.0,['drh']
Industrial,divination,2,1.0,1.0,0.0,['drh']
Industrial,healing_function,1,0.0,0.0,,['drh']
Industrial,dedicated_specialist,50,0.7,0.7,0.4629100498862757,['seshat']
Modern,trance_induction,3,1.0,1.0,0.0,['drh']
Modern,divination,2,1.0,1.0,0.0,['drh']
Modern,healing_function,1,0.0,0.0,,['drh']
Modern,dedicated_specialist,20,0.7,0.7,0.4701623459816272,['seshat']
