,unmapped_shamanic_indicators,unmapped_shamanic_indicators_uncertainty,trance_induction,trance_induction_uncertainty,spirit_possession,spirit_possession_uncertainty,soul_flight,soul_flight_uncertainty,possession_crisis,possession_crisis_uncertainty,initiatory_ordeal,initiatory_ordeal_uncertainty,public_performance,public_performance_uncertainty,specialist_presence,specialist_presence_uncertainty,ancestor_mediation,ancestor_mediation_uncertainty,divination,divination_uncertainty,rhythmic_percussion,rhythmic_percussion_uncertainty,animal_transformation,animal_transformation_uncertainty,ritual_performance,ritual_performance_uncertainty,initiatory_crisis,initiatory_crisis_uncertainty,chanting_singing,chanting_singing_uncertainty,hereditary_transmission,hereditary_transmission_uncertainty,layered_cosmology,layered_cosmology_uncertainty,nature_spirits,nature_spirits_uncertainty,entheogen_use,entheogen_use_uncertainty,healing_function,healing_function_uncertainty,,nan_uncertainty
unmapped_shamanic_indicators,1.0,0.24907731302474995,,,,,0.03112975226158745,,-0.04426019477743247,,,0.0681157971963927,0.03757168942720639,,0.030387228380819475,0.024167067919173172,-0.08512684499794457,,,,,,,,0.0193043680312464,-0.17714903035183266,0.04526030250978879,,-0.07225436269412479,,0.2724746304565329,,0.26624359843236717,0.2418727662737891,0.33136807150000624,0.08755989289287992,0.4637851277318692,,,,,
unmapped_shamanic_indicators_uncertainty,0.24907731302474995,1.0,,,,,0.04280538338046383,,0.024557775665835273,,,0.03416433277677582,0.03564363423913184,,0.1104617163645079,0.02966316958119022,-0.06890630805209112,,,,,,,,-0.08010018789148171,-0.00363696483726654,0.05797101449275367,,0.029584097158797694,,0.06917144638660745,,,,,,,,,,,
trance_induction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trance_induction_uncertainty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spirit_possession,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spirit_possession_uncertainty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soul_flight,0.03112975226158745,0.04280538338046383,,,,,1.0,,-0.01089361675826488,,,-0.015454270856304533,0.12598815766974233,,0.010428051647666246,,0.11980811876382695,,,,,,,,0.14289186327152287,0.1427102903710774,-0.02839809171235324,,-0.015328483487124147,,,,,,,,,,,,,
soul_flight_uncertainty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
possession_crisis,-0.04426019477743247,0.024557775665835273,,,,,-0.01089361675826488,,1.0,,,-0.008866586276648927,0.08872419896364003,,,,-0.02488473072129733,,,,,,,,,,,,-0.008771929824561406,,,,,,,,,,,,,
possession_crisis_uncertainty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
initiatory_ordeal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
initiatory_ordeal_uncertainty,0.0681157971963927,0.03416433277677582,,,,,-0.015454270856304533,,-0.008866586276648927,,,1.0,-0.004033783220492511,,0.18333969940564193,,-0.03461160877674452,,,,,,,,0.08260465732490331,-0.05437390678561197,,,,,,,,,,,,,,,,
public_performance,0.03757168942720639,0.03564363423913184,,,,,0.12598815766974233,,0.08872419896364003,,,-0.004033783220492511,1.0,,-0.04147284220585281,,-0.14203636972095549,,,,,,,,0.07625156977225626,0.11584617016011035,0.1111258025181714,,,,-0.15859535602326877,,,,,,,,,,,
public_performance_uncertainty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specialist_presence,0.030387228380819475,0.1104617163645079,,,,,0.010428051647666246,,,,,0.18333969940564193,-0.04147284220585281,,1.0,0.09728745601648923,0.16373307276238183,,,,,,,,-0.08234529434695395,0.026866419770378704,-0.0351659528832137,,,,-0.2475937842360693,,,,,,,,,,,
specialist_presence_uncertainty,0.024167067919173172,0.02966316958119022,,,,,,,,,,,,,0.09728745601648923,1.0,,,,,,,,,,,,,,,,,0.03580049040674666,0.060729492942970385,-0.09450816671762424,-0.07614989574782907,0.04060892441793004,,,,,
ancestor_mediation,-0.08512684499794457,-0.06890630805209112,,,,,0.11980811876382695,,-0.02488473072129733,,,-0.03461160877674452,-0.14203636972095549,,0.16373307276238183,,1.0,,,,,,,,0.11573267707230513,0.1952095306120134,-0.08446830228799337,,-0.041666666666666685,,0.09009374626955585,,,,,,,,,,,
ancestor_mediation_uncertainty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
divination,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
divination_uncertainty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rhythmic_percussion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rhythmic_percussion_uncertainty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
animal_transformation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
animal_transformation_uncertainty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ritual_performance,0.0193043680312464,-0.08010018789148171,,,,,0.14289186327152287,,,,,0.08260465732490331,0.07625156977225626,,-0.08234529434695395,,0.11573267707230513,,,,,,,,1.0,0.2810342739914386,0.25640582020827496,,-0.12488429749586706,,0.2584743346198593,,,,,,,,,,,
ritual_performance_uncertainty,-0.17714903035183266,-0.00363696483726654,,,,,0.1427102903710774,,,,,-0.05437390678561197,0.11584617016011035,,0.026866419770378704,,0.1952095306120134,,,,,,,,0.2810342739914386,1.0,0.03401517959955085,,-0.06906493039119053,,0.00846667513334593,,,,,,,,,,,
initiatory_crisis,0.04526030250978879,0.05797101449275367,,,,,-0.02839809171235324,,,,,,0.1111258025181714,,-0.0351659528832137,,-0.08446830228799337,,,,,,,,0.25640582020827496,0.03401517959955085,1.0,,-0.04042260417272216,,-0.086710996952412,,,,,,,,,,,
initiatory_crisis_uncertainty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chanting_singing,-0.07225436269412479,0.029584097158797694,,,,,-0.015328483487124147,,-0.008771929824561406,,,,,,,,-0.041666666666666685,,,,,,,,-0.12488429749586706,-0.06906493039119053,-0.04042260417272216,,1.0,,,,,,,,,,,,,
chanting_singing_uncertainty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hereditary_transmission,0.2724746304565329,0.06917144638660745,,,,,,,,,,,-0.15859535602326877,,-0.2475937842360693,,0.09009374626955585,,,,,,,,0.2584743346198593,0.00846667513334593,-0.086710996952412,,,,1.0,,,,,,,,,,,
hereditary_transmission_uncertainty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
layered_cosmology,0.26624359843236717,,,,,,,,,,,,,,,0.03580049040674666,,,,,,,,,,,,,,,,,1.0,0.8729676022669152,0.3463030644638045,0.19466993729091175,0.17316493456321885,,,,,
layered_cosmology_uncertainty,0.2418727662737891,,,,,,,,,,,,,,,0.060729492942970385,,,,,,,,,,,,,,,,,0.8729676022669152,1.0,0.33086063511614694,0.1465396033706937,0.19748266985840268,,,,,
nature_spirits,0.33136807150000624,,,,,,,,,,,,,,,-0.09450816671762424,,,,,,,,,,,,,,,,,0.3463030644638045,0.33086063511614694,1.0,0.8061495828176987,0.4889637714447399,,,,,
nature_spirits_uncertainty,0.08755989289287992,,,,,,,,,,,,,,,-0.07614989574782907,,,,,,,,,,,,,,,,,0.19466993729091175,0.1465396033706937,0.8061495828176987,1.0,0.2603593423839952,,,,,
entheogen_use,0.4637851277318692,,,,,,,,,,,,,,,0.04060892441793004,,,,,,,,,,,,,,,,,0.17316493456321885,0.19748266985840268,0.4889637714447399,0.2603593423839952,1.0,,,,,
entheogen_use_uncertainty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
healing_function,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
healing_function_uncertainty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nan_uncertainty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
