cluster,ancestor_mediation,animal_transformation,chanting_singing,dedicated_specialist,divination,entheogen_use,healing_function,hereditary_transmission,initiatory_crisis,initiatory_ordeal,layered_cosmology,nature_spirits,possession_crisis,public_performance,rhythmic_percussion,ritual_performance,soul_flight,specialist_presence,spirit_possession,trance_induction,unmapped_shamanic_indicators,n_cultures,n_dplace,n_drh,k,variant
0,0.087,0.0,0.0,,0.0,,,0.0,0.154,0.0,,,0.0,0.0,0.0,1.0,0.0,0.25,,,1.0,23,23,0,10,optimal
1,0.286,0.0,0.0,,0.0,0.055,,,0.0,0.0,0.0,0.036,0.0,0.0,0.0,0.0,0.0,1.0,,,0.968,63,63,0,10,optimal
2,,,,,,0.0,,,,,1.0,0.0,,,,,,1.0,,,1.0,14,14,0,10,optimal
3,0.056,0.0,0.0,,0.0,,,0.0,0.0,0.0,,,0.062,1.0,0.0,0.0,0.0,0.133,,,1.0,18,18,0,10,optimal
4,,,,,,1.0,,,,,0.938,0.812,,,,,,1.0,,,1.0,16,16,0,10,optimal
5,0.04,0.0,0.105,,0.0,0.0,,0.0,0.0,0.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,29,29,0,10,optimal
6,0.1,0.0,0.0,,0.0,,,,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0,10,10,0,10,optimal
7,,,,,,0.0,,,,,1.0,1.0,,,,,,1.0,,,1.0,7,7,0,10,optimal
8,0.0,0.0,0.0,,0.0,,,0.2,0.143,0.0,,,0.0,1.0,0.0,1.0,0.0,0.1,,,0.923,13,13,0,10,optimal
9,,,,,1.0,,0.0,,,,,,,,,,,,,1.0,,3,0,3,10,optimal
