region,time_bin,record_count,data_quality_mean,source,gap_severity
Africa,-2000_to_-1500,2165,0.5714203233256351,dplace,GREEN
Americas,-2000_to_-1500,7090,0.4429428772919605,dplace,GREEN
Asia-Pacific,-2000_to_-1500,2083,0.5228583773403744,dplace,GREEN
Europe,-2000_to_-1500,262,0.5385114503816794,dplace,GREEN
Other,-2000_to_-1500,220,0.5358590909090909,dplace,GREEN
Africa,-1000_to_-500,2,0.0,drh,YELLOW
Asia-Pacific,-1000_to_-500,2,0.0,drh,YELLOW
Asia-Pacific,-500_to_0,4,0.0,drh,YELLOW
Other,-1000_to_-500,3,0.0,drh,YELLOW
Africa,-10000_to_-9500,6,0.0,seshat,GREEN
Africa,-1000_to_-500,63,0.4735238095238095,seshat,GREEN
Africa,-1500_to_-1000,78,0.4508461538461539,seshat,GREEN
Africa,-2000_to_-1500,53,0.32698113207547175,seshat,GREEN
Africa,-2500_to_-2000,35,0.4094857142857143,seshat,GREEN
Africa,-3000_to_-2500,27,0.2036666666666667,seshat,GREEN
Africa,-3500_to_-3000,17,0.29411764705882354,seshat,GREEN
Africa,-4000_to_-3500,17,0.22547058823529412,seshat,GREEN
Africa,-4500_to_-4000,8,0.145875,seshat,GREEN
Africa,-5000_to_-4500,3,0.389,seshat,YELLOW
Africa,-500_to_0,63,0.47087301587301583,seshat,GREEN
Africa,-5500_to_-5000,13,0.12823076923076923,seshat,GREEN
Africa,-6000_to_-5500,16,0.229125,seshat,GREEN
Africa,-7000_to_-6500,20,0.09165,seshat,GREEN
Africa,-7500_to_-7000,5,0.3666,seshat,GREEN
Africa,-8000_to_-7500,5,0.0,seshat,GREEN
Africa,-9000_to_-8500,2,0.0,seshat,YELLOW
Africa,0_to_500,45,0.4073555555555555,seshat,GREEN
Africa,1000_to_1500,91,0.5018131868131868,seshat,GREEN
Africa,1500_to_2000,54,0.42587037037037034,seshat,GREEN
Africa,500_to_1000,56,0.41066071428571427,seshat,GREEN
Americas,-1000_to_-500,12,0.38883333333333336,seshat,GREEN
Americas,-1500_to_-1000,10,0.4,seshat,GREEN
Americas,-2000_to_-1500,3,0.0,seshat,YELLOW
Americas,-500_to_0,32,0.33325,seshat,GREEN
Americas,-6000_to_-5500,3,0.0,seshat,YELLOW
Americas,0_to_500,25,0.27327999999999997,seshat,GREEN
Americas,1000_to_1500,54,0.4197222222222222,seshat,GREEN
Americas,1500_to_2000,44,0.5,seshat,GREEN
Americas,500_to_1000,40,0.32075,seshat,GREEN
Asia-Pacific,-1000_to_-500,16,0.354125,seshat,GREEN
Asia-Pacific,-14000_to_-13500,4,0.0,seshat,YELLOW
Asia-Pacific,-1500_to_-1000,33,0.16663636363636367,seshat,GREEN
Asia-Pacific,-2000_to_-1500,18,0.30550000000000005,seshat,GREEN
Asia-Pacific,-2500_to_-2000,14,0.26185714285714284,seshat,GREEN
Asia-Pacific,-3000_to_-2500,9,0.0,seshat,GREEN
Asia-Pacific,-3500_to_-3000,11,0.0,seshat,GREEN
Asia-Pacific,-4000_to_-3500,5,0.0,seshat,GREEN
Asia-Pacific,-5000_to_-4500,6,0.0,seshat,GREEN
Asia-Pacific,-500_to_0,58,0.3074137931034483,seshat,GREEN
Asia-Pacific,-5500_to_-5000,8,0.0,seshat,GREEN
Asia-Pacific,-7000_to_-6500,2,0.0,seshat,YELLOW
Asia-Pacific,-7500_to_-7000,4,0.0,seshat,YELLOW
Asia-Pacific,-9500_to_-9000,3,0.0,seshat,YELLOW
Asia-Pacific,0_to_500,59,0.41238983050847455,seshat,GREEN
Asia-Pacific,1000_to_1500,114,0.4078684210526316,seshat,GREEN
Asia-Pacific,1500_to_2000,98,0.5288979591836734,seshat,GREEN
Asia-Pacific,500_to_1000,120,0.45832500000000004,seshat,GREEN
Europe,-1000_to_-500,37,0.454945945945946,seshat,GREEN
Europe,-2000_to_-1500,5,0.0,seshat,GREEN
Europe,-2500_to_-2000,5,0.0,seshat,GREEN
Europe,-3500_to_-3000,6,0.0,seshat,GREEN
Europe,-4000_to_-3500,3,0.0,seshat,YELLOW
Europe,-500_to_0,31,0.36016129032258065,seshat,GREEN
Europe,0_to_500,15,0.7334,seshat,GREEN
Europe,1000_to_1500,25,0.36660000000000004,seshat,GREEN
Europe,1500_to_2000,20,0.45830000000000004,seshat,GREEN
Europe,500_to_1000,40,0.45830000000000004,seshat,GREEN
Other,1000_to_1500,10,0.3666,seshat,GREEN
Other,1500_to_2000,5,0.3666,seshat,GREEN
Other,500_to_1000,8,0.375,seshat,GREEN
