feature,n_ones,n_zeros,statistic,p_value,z_score,significant,interpretation
feature_0,25,25,-0.06542056074766356,0.3434343434343434,-0.7167791816263112,False,Random spatial distribution (no significant autocorrelation)
feature_1,21,29,0.10530515783496774,0.06060606060606061,2.0128404616741027,False,Random spatial distribution (no significant autocorrelation)
feature_2,30,20,-0.04984423676012456,0.40404040404040403,-0.4728371494625106,False,Random spatial distribution (no significant autocorrelation)
feature_3,23,27,0.001550107604556981,1.0,0.35013151963047656,False,Random spatial distribution (no significant autocorrelation)
feature_4,23,27,0.1998284346923111,0.0,3.5117416657328806,True,Significant positive spatial autocorrelation (clustering)
feature_5,27,23,-0.07181663581501052,0.30303030303030304,-0.8197242270298064,False,Random spatial distribution (no significant autocorrelation)
feature_6,23,27,-0.01839059701717162,0.7878787878787878,0.03217072694845102,False,Random spatial distribution (no significant autocorrelation)
feature_7,19,31,-0.04439649017025529,0.5151515151515151,-0.3869176878770092,False,Random spatial distribution (no significant autocorrelation)
feature_8,29,21,-0.04585424243819344,0.48484848484848486,-0.40742617649323015,False,Random spatial distribution (no significant autocorrelation)
feature_9,22,28,0.036230125015171706,0.6262626262626263,0.9046504526226155,False,Random spatial distribution (no significant autocorrelation)
feature_10,20,30,0.031931464174454895,0.696969696969697,0.8407412166198985,False,Random spatial distribution (no significant autocorrelation)
feature_11,24,26,0.016954229571052054,0.8080808080808081,0.5951576727153424,False,Random spatial distribution (no significant autocorrelation)
feature_12,31,19,-0.08842803420973296,0.12121212121212122,-1.0971207495959359,False,Random spatial distribution (no significant autocorrelation)
feature_13,22,28,-0.0896953513775944,0.15151515151515152,-1.1066839763293972,False,Random spatial distribution (no significant autocorrelation)
feature_14,27,23,0.019985853386909815,0.7777777777777778,0.6440952713553678,False,Random spatial distribution (no significant autocorrelation)
feature_15,29,21,-0.11414452987124596,0.030303030303030304,-1.5008461297769493,True,Significant negative spatial autocorrelation (dispersal)
feature_16,31,19,-0.0737508528632404,0.16161616161616163,-0.8603863956896269,False,Random spatial distribution (no significant autocorrelation)
feature_17,28,22,-0.01687097948780188,0.8181818181818182,0.05649738017297278,False,Random spatial distribution (no significant autocorrelation)
feature_18,25,25,0.0,1.0,0.3249803916695562,False,Random spatial distribution (no significant autocorrelation)
